41,1JUvB8LRKYoik4BB1bEJWK,Majid Jordan,Majid Jordan,My Love (feat. Drake),https://p.scdn.co/mp3-preview/04287ba3d58f6c05e61ac39b05be4aecc3805495?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
42,1MQ8ydvrTnn2QJgXFATJvD,6LACK,FREE 6LACK,Ex Calling,https://p.scdn.co/mp3-preview/39aebc21e22bca451005ee1c9a52a649d6a9d65b?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
43,1oTo3ijRbaDAtrjJrGAPSw,blink-182,blink-182,I Miss You,https://p.scdn.co/mp3-preview/0769a6d42496b903ea09e2907bc1dc9a84b3ba93?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
44,1p5kC161fWMA2QlwV3Vi4W,Eamon,I Don't Want You Back,Fuck It (I Don't Want You Back),https://p.scdn.co/mp3-preview/2e1f0b08309611b4a6230bf40383e5cb3e43cd69?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
45,2NM4ZRHdJF4KkEJIfHgK5B,Marvin Gaye,Let's Get It On / Here My Dear,Anna's Song,https://p.scdn.co/mp3-preview/02cc0d518d0c52fe014dacdfef2a4aabb78575f0?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
46,34W9HFQXr7x9mHjtLFWCoI,K.I.Z,Hurra die Welt geht unter,Freier Fall,https://p.scdn.co/mp3-preview/d51b1e975fbb69bd1387e20f0631c0d119c8e406?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
47,35PYCZLdGi3gRMdA26dZ59,Bic Runga,Drive,Sway,,
48,3DK6m7It6Pw857FcQftMds,Pusha T,My Beautiful Dark Twisted Fantasy,Runaway,https://p.scdn.co/mp3-preview/a1f828c57ecf2b61cee888d956e5b59aebb14610?cid=f6a40776580943a7bc5173125a1e8832,
49,3F18I7LhWKxlf1PytSoTBH,Kanye West,808s & Heartbreak,Welcome To Heartbreak,,
50,3NWTRZ0A8xKlBP1qgNftql,The Internet,Special Affair,Special Affair,,
51,3V35bKSSm4usoSPjdaRGMx,Majid Jordan,The Space Between,Gave Your Love Away,https://p.scdn.co/mp3-preview/5573cb264489bed4c13a0b921130505993ee7819?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
52,3qj1v267X5kiuONBDbkocY,A.CHAL,Welcome to GAZI,Vibe W/U,https://p.scdn.co/mp3-preview/633c6e48455a5c4b845acb864cced1d57905e929?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
53,4osgfFTICMkcGbbigdsa53,Frank Ocean,R&B The Collection 2011,Novacane,https://p.scdn.co/mp3-preview/a676ccf07cea06b1a4626d919370a92189e2f64a?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
54,4rHZZAmHpZrA3iH5zx8frV,Justin Timberlake,Songs For The Philippines,Mirrors,,
55,4tc0KKQUvnrSZhZz2slTHF,The Internet,Purple Naked Ladies,Cocaine,https://p.scdn.co/mp3-preview/da959894515d85a84f922c18ee58a1b4728f6dc9?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
56,5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Wiped Out!,Daddy Issues,,
57,5LiQ64tjVA70LNTC7XhK9e,PARTYNEXTDOOR,PARTYNEXTDOOR TWO,Sex On The Beach,https://p.scdn.co/mp3-preview/2c63a38485a9998b6654dd03c452452f3e794ac8?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
58,5e5MKPtJuFb8NaeSEyV5gD,Kanye West,808s & Heartbreak,Say You Will,,
59,5fohLPNqO6TqwrZ7BoUWUT,The Weeknd,Trilogy,High For This,https://p.scdn.co/mp3-preview/43eac3bfcff056b235649f096f93f604a2639995?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
60,6JRzJifHgthhFHfeSUSk65,Mahalia,Sober,Sober - Acoustic,https://p.scdn.co/mp3-preview/7a803bfa7dd83e735b148d799d1fd6d649b27c3f?cid=d8a5ed958d274c2e8ee717e6a4b0971d,
